feature,importance_mean,importance_std,importance_min,importance_max,rank
is_weekend,0.13143429,0.011409784,0.114589706,0.16246925,1
data_channel_is_entertainment,0.086698785,0.008108671,0.07400088,0.1034817,2
kw_avg_avg,0.080133766,0.0025002183,0.076522976,0.08491588,3
data_channel_is_socmed,0.06591832,0.008627283,0.053274263,0.08409666,4
self_reference_avg_sharess,0.057093315,0.0020807143,0.052820288,0.060149875,5
data_channel_is_bus,0.05675953,0.009662702,0.04035737,0.07615645,6
data_channel_is_world,0.050236322,0.009260186,0.032687712,0.06832914,7
LDA_02,0.039210513,0.0014041367,0.03759207,0.043937944,8
num_imgs,0.03634077,0.0016078858,0.033483677,0.03954334,9
LDA_01,0.034849975,0.0013060477,0.03309989,0.037715845,10
LDA_00,0.033947,0.0014480817,0.031869486,0.03790201,11
num_videos,0.033696733,0.0018769538,0.03088444,0.03690994,12
LDA_03,0.033014476,0.0009698519,0.031713214,0.035009533,13
weekday_is_monday,0.03214711,0.0032153311,0.028008128,0.039302677,14
n_tokens_content,0.031583734,0.00086554536,0.02995315,0.032781832,15
num_self_hrefs,0.030916959,0.0013684094,0.028216837,0.033347536,16
weekday_is_wednesday,0.030409247,0.0035864986,0.022605674,0.037737228,17
weekday_is_friday,0.030356338,0.004060939,0.022365011,0.03730043,18
weekday_is_tuesday,0.02733152,0.003018718,0.021697728,0.031310868,19
n_tokens_title,0.026939368,0.001076644,0.02437078,0.028903103,20
data_channel_is_lifestyle,0.025793366,0.0030673356,0.019209526,0.030497199,21
weekday_is_thursday,0.025188588,0.0027418053,0.020980602,0.031952072,22
